name,address,city,state,zip,latitude,longitude,geocodeStatus,metro
"FASTSIGNS of Wilmington, Delaware","1300 First State Blvd, Ste G Wilmington, DE 19804 USA",Wilmington,DE,19804,,,failed,
"FASTSIGNS of Apopka, FL","3030 E Semoran Blvd, Ste 156 Apopka, FL 32703-5909 USA",Apopka,FL,32703,28.671114356928,-81.454480002127,ok,
"FASTSIGNS of Boca Raton, FL","2401 N Federal Hwy, Ste E Boca Raton, FL 33431 USA",Boca Raton,FL,33431,26.371761926137,-80.076711801186,ok,
"FASTSIGNS of Bonita Springs, FL","28440 Old US 41, Ste 6 Bonita Springs, FL 34135 USA","28440 Old US 41, Ste 6 Bonita Springs",FL,34135,,,failed,
"FASTSIGNS of Bradenton, FL","3615 14th St W Bradenton, FL 34205 USA",Bradenton,FL,34205,27.468263654218,-82.575202004115,ok,
"FASTSIGNS of Brandon, FL","2020 W Brandon Blvd, Ste 170 Brandon, FL 33511-4706 USA",Brandon,FL,33511,27.937756570585,-82.316883217774,ok,
"FASTSIGNS of Cape Coral, FL","290 Nicholas Parkway NW, Ste 9 Cape Coral, FL 33991 USA",Cape Coral,FL,33991,26.647031245493,-81.986849954768,ok,
"FASTSIGNS of Casselberry, FL - Winter Park","915 SR 436 Casselberry, FL 32707 USA",915 SR 436 Casselberry,FL,32707,28.649121727109,-81.325630102883,ok,
"FASTSIGNS of Clearwater, FL","712 S Missouri Ave Clearwater, FL 33756 USA",Clearwater,FL,33756,27.958175762141,-82.787659369268,ok,
"FASTSIGNS of Clermont, FL","602 East Highway 50, Unit D Clermont, FL 34711 USA","50, Unit D Clermont",FL,34711,28.551391456624,-81.765212614341,ok,
"FASTSIGNS of Coral Springs, FL","7565 W Sample Rd Coral Springs, FL 33065-4701 USA",Coral Springs,FL,33065,,,failed,
"FASTSIGNS of Cutler Bay, FL","19740 S Dixie Hwy Cutler Bay, FL 33157 USA",Cutler Bay,FL,33157,25.586535276534,-80.362068288212,ok,miami_dade
"FASTSIGNS of Dania, FL","3328 Griffin Rd Dania, FL 33312 USA",Dania,FL,33312,26.062224762707,-80.187687744487,ok,
"FASTSIGNS of Davie/Plantation, FL","7080 W State Rd 84, Ste 7 Davie, FL 33317 USA","84, Ste 7 Davie",FL,33317,26.096095851399,-80.240454719059,ok,
